crop,disease,compound,trade_name,dosage,method,pre_harvest_interval_days,dose_verified,phi_verified,phi_status,phi_source
banana,banana_bunchy_top,imidacloprid,Confidor 200SL,0.5 ml per litre water,foliar spray,14,False,False,unverified,
banana,banana_bunchy_top,thiamethoxam,Actara 25WG,0.2 g per litre water,foliar spray,14,False,False,unverified,
banana,fusarium_wilt,"Trichoderma harzianum (biocontrol — suppressant only, not curative)",,50 g per planting hole mixed with soil at planting; or 10 g per litre water as soil drench applied at the base of the mat every 3-4 months as a suppressive measure. This is a biological antagonist that reduces soil inoculum pressure — it does NOT cure infected plants.,soil incorporation at planting or soil drench at mat base,0,False,False,not_applicable,
banana,fusarium_wilt,Propiconazole (corm dip — preventive planting treatment only),Tilt 250EC,1 ml per litre water; immerse pared corms or suckers for 30 minutes before planting. Preventive only — has no curative activity on established infection. PHI does not apply as this is a pre-planting treatment.,corm or sucker dip before planting,0,False,False,not_applicable,
banana,sigatoka_leaf_spot,mancozeb,Dithane M-45,2.5 g per litre air,foliar spray,7,False,False,unverified,APVMA/US EPA foreign label (not a Malaysian DOA source)
banana,sigatoka_leaf_spot,propiconazole,Tilt 250 EC,0.5 ml per litre air,foliar spray,1,False,True,verified,mymrl.doa.gov.my/AIs/100
chilli,anthracnose,mancozeb,Dithane M-45 (80% WP),2.5g per litre water,foliar spray,7,False,False,unverified,
chilli,anthracnose,chlorothalonil,Daconil 720 SC,2ml per litre water,foliar spray,7,False,True,verified,mymrl.doa.gov.my/AIs/28
chilli,bacterial_wilt,Copper hydroxide,Kocide 3000,"2 g per litre water, applied as ~200 ml of solution drenched at the base of each plant",soil drench,,False,False,not_applicable,
chilli,bacterial_wilt,Dazomet,Basamid G,"30-50 g per square metre incorporated into moist soil, then covered/tarped for 7-14 days with a 2-3 week aeration period before transplanting",pre-plant soil fumigation (granules incorporated into soil),,False,False,not_applicable,
chilli,powdery_mildew,wettable sulphur (sulfur 80% WG),Kumulus DF,2.5 g per litre water,foliar spray,0,False,False,unverified,APVMA/US EPA foreign label (not a Malaysian DOA source)
chilli,powdery_mildew,hexaconazole (50 g/L SC),Anvil 5SC,1 ml per litre water,foliar spray,14,False,False,unverified,
cocoa,vascular_streak_dieback,hexaconazole,Anvil 5SC,1 ml per litre water,foliar spray,14,False,False,unverified,
cocoa,vascular_streak_dieback,copper hydroxide,Kocide 3000,2 g per litre water,foliar spray,7,False,False,unverified,
durian,patch_canker,Fosetyl-aluminium,Aliette 80 WP,"2.5 g per litre water for foliar spray; for canker treatment, 10 g per 100 ml water applied as a paste painted onto the scraped lesion",foliar spray and bark paint after excising infected bark,,False,False,not_applicable,
durian,patch_canker,Metalaxyl-M (mefenoxam) + mancozeb,Ridomil Gold MZ 68 WG,"2 g per litre water applied as a soil drench around the root zone, approximately 5-10 litres of solution per mature tree",soil drench,,False,False,not_applicable,
durian,phytophthora_root_rot,Phosphorous acid (potassium phosphonate),,20% phosphonic acid solution; 20 ml injected per metre of canopy diameter,trunk injection,,False,False,not_applicable,
durian,phytophthora_root_rot,Fosetyl-aluminium,Aliette 80 WG,2.5 g per litre water as foliar spray; or 5 g per litre water as soil drench applied over the root zone,soil drench,,False,False,not_applicable,
oil_palm,ganoderma_basal_stem_rot,Hexaconazole,Anvil 5SC,"2ml per litre water, 10-20 litres per palm as soil drench around basal zone",soil drench,,False,False,not_applicable,
oil_palm,ganoderma_basal_stem_rot,Trichoderma harzianum (biological control agent),,"Trichoderma-colonised empty fruit bunch (EFB) compost, approximately 25-50 kg applied around the basal root zone per palm",soil application,,False,False,not_applicable,
paddy,bacterial_leaf_blight,No curative chemical treatment — management is preventive,,"Not applicable. There is no reliable curative spray for BLB once established. Copper-based bactericides (copper hydroxide, copper oxychloride) may be applied preventively as a minor suppressive measure only at 2-3 g per litre (400-500 L spray solution per hectare), with no more than 2-3 applications per season to avoid phytotoxicity and soil copper accumulation. They do NOT cure established infection.",Preventive foliar application if used; direct spray at leaf canopy. Primary management must rely on resistant varieties and cultural practices.,14,False,False,unverified,
